Gene,Percent Change,AbsoluteChange
YPL240C,64.40677966101656,64.40677966101656
YDR105C,64.40677966101656,64.40677966101656
YGR037C,-64.40000000000008,64.40000000000008
YLR399C,64.36781609195383,64.36781609195383
YJR054W,-64.28571428571435,64.28571428571435
YOR340C,-64.28571428571435,64.28571428571435
YOR272W,-64.23611111111114,64.23611111111114
YDR326C,-64.2335766423359,64.2335766423359
YOL022C,-64.2201834862385,64.2201834862385
YPL019C,-64.2201834862385,64.2201834862385
YHR004C,64.17910447761241,64.17910447761241
YGR230W,64.17910447761241,64.17910447761241
YMR180C,64.17910447761241,64.17910447761241
YEL032w,-64.1304347826087,64.1304347826087
YOL016C,64.06250000000007,64.06250000000007
YCL076W,64.0449438202251,64.0449438202251
YDL040C,-64.04494382022479,64.04494382022479
YPL238C,-64.0287769784173,64.0287769784173
YOL129W,63.934426229508,63.934426229508
YAL046C,-63.928571428571445,63.928571428571445
YML018C,-63.913043478260775,63.913043478260775
YLR073C,-63.898916967509,63.898916967509
YDR403W,63.888888888889014,63.888888888889014
YMR212C,-63.8095238095238,63.8095238095238
YDR161W,-63.786008230452794,63.786008230452794
YIL118W,-63.77358490566047,63.77358490566047
YAL059W,-63.76811594202899,63.76811594202899
YIL086C,63.76811594202898,63.76811594202898
YJL157C,-63.76306620209057,63.76306620209057
YLR012C,63.73626373626402,63.73626373626402
YNL189W,-63.713080168776436,63.713080168776436
YER145c,-63.67346938775522,63.67346938775522
YGL160W,63.636363636363726,63.636363636363726
YGR083C,-63.63636363636367,63.63636363636367
YJR113C,63.63636363636359,63.63636363636359
YHR149C,-63.60153256704989,63.60153256704989
YKR092C,-63.598326359832605,63.598326359832605
YGR228W,-63.55140186915883,63.55140186915883
YDL213c,-63.548387096774206,63.548387096774206
YOL061W,-63.54515050167223,63.54515050167223
YMR146C,-63.52459016393447,63.52459016393447
YNL164C,63.51351351351325,63.51351351351325
YMR260C,-63.507109004739334,63.507109004739334
YBR119W,63.49206349206378,63.49206349206378
YAR027W,63.49206349206378,63.49206349206378
YDL033c,63.49206349206378,63.49206349206378
YGL022W,-63.44537815126042,63.44537815126042
YHR049W,-63.42412451361857,63.42412451361857
YAR009C,-63.41463414634146,63.41463414634146
YLR359W,-63.380281690140805,63.380281690140805
YPR001W,63.38028169014067,63.38028169014067
YDL151c,-63.35877862595433,63.35877862595433
YCL046W,-63.35877862595433,63.35877862595433
YKR040C,63.33333333333331,63.33333333333331
YOR078W,-63.295880149812824,63.295880149812824
YER085c,63.29113924050686,63.29113924050686
YOR344C,-63.24110671936759,63.24110671936759
YOR355W,-63.228699551569434,63.228699551569434
YGR001C,-63.19444444444445,63.19444444444445
YDL192W,-63.18181818181821,63.18181818181821
YIL039W,-63.175675675675635,63.175675675675635
YML083C,63.15789473684226,63.15789473684226
YAL035W,-63.157894736842124,63.157894736842124
YNR009W,-63.13868613138687,63.13868613138687
YOR004W,-63.11787072243362,63.11787072243362
YDR158W,-63.08411214953282,63.08411214953282
YJL010C,-63.07053941908718,63.07053941908718
YDR206W,-63.05084745762707,63.05084745762707
YJL050W,-63.02816901408449,63.02816901408449
YCR065w,-62.97709923664135,62.97709923664135
YCL048W,62.96296296296303,62.96296296296303
YDL052C,-62.949640287769824,62.949640287769824
YJR069C,-62.90909090909087,62.90909090909087
YOL157C,62.903225806451466,62.903225806451466
YGR231C,62.903225806451466,62.903225806451466
YGR258C,62.903225806451466,62.903225806451466
YBR202W,-62.86919831223643,62.86919831223643
YNR075W,-62.835249042145755,62.835249042145755
YKL094W,62.71186440677931,62.71186440677931
YML126C,-62.694300518134725,62.694300518134725
YJR105W,-62.67942583732052,62.67942583732052
YOR145C,-62.66666666666669,62.66666666666669
YMR235C,-62.59842519685043,62.59842519685043
YKR024C,-62.551440329218146,62.551440329218146
YHR193C,-62.50000000000006,62.50000000000006
YEL030w,62.500000000000036,62.500000000000036
YHR088W,-62.34817813765176,62.34817813765176
YHR194W,62.33766233766249,62.33766233766249
YMR108W,-62.331838565022366,62.331838565022366
YLR273C,62.31884057971004,62.31884057971004
YJL192C,-62.31343283582088,62.31343283582088
YGL120C,-62.29508196721305,62.29508196721305
YCR068W,62.22222222222208,62.22222222222208
YHL039W,-62.213740458015266,62.213740458015266
YGL177W,62.19512195121942,62.19512195121942
YGR095C,-62.17228464419471,62.17228464419471
YPL181W,62.16216216216206,62.16216216216206
YKL134C,62.16216216216206,62.16216216216206
YML106W,-62.13991769547324,62.13991769547324
YOL014W,-62.068965517241324,62.068965517241324
YKL124W,62.06896551724122,62.06896551724122
YGL205W,61.97183098591532,61.97183098591532
YOR370C,-61.940298507462686,61.940298507462686
YER122c,-61.90476190476192,61.90476190476192
YNL292W,-61.90476190476192,61.90476190476192
YBR286W,61.904761904761585,61.904761904761585
YLR221C,-61.88118811881193,61.88118811881193
YGR247W,61.84210526315779,61.84210526315779
YHR009C,61.84210526315779,61.84210526315779
YBL077W,-61.81818181818177,61.81818181818177
YDR293C,61.81818181818161,61.81818181818161
YOL021C,-61.80555555555558,61.80555555555558
YKL060C,-61.764705882352956,61.764705882352956
YDR232W,61.72839506172871,61.72839506172871
YPR169W,-61.70212765957444,61.70212765957444
YNR067C,-61.68831168831165,61.68831168831165
YBL092W,-61.666666666666615,61.666666666666615
YNL007C,61.66666666666642,61.66666666666642
YPL280W,61.64383561643836,61.64383561643836
YIL019W,-61.64383561643832,61.64383561643832
YLR336C,-61.59695817490497,61.59695817490497
YOR007C,61.53846153846134,61.53846153846134
YNL207W,-61.51079136690649,61.51079136690649
YOR169C,-61.50234741784036,61.50234741784036
YNL244C,-61.4840989399293,61.4840989399293
YDR436W,61.42857142857166,61.42857142857166
YGL245W,-61.42857142857151,61.42857142857151
YGL148W,-61.382113821138304,61.382113821138304
YDR058c,61.3636363636369,61.3636363636369
YIL078W,-61.34453781512601,61.34453781512601
YBR012W-B,-61.31687242798345,61.31687242798345
YHR007C,-61.30434782608706,61.30434782608706
YPL030W,-61.30136986301362,61.30136986301362
YER047c,61.29032258064492,61.29032258064492
YPL270W,61.29032258064492,61.29032258064492
YLR268W,-61.26482213438754,61.26482213438754
YLR335W,-61.261261261261346,61.261261261261346
YOL079W,-61.224489795918466,61.224489795918466
YLR014c,61.19402985074669,61.19402985074669
YPL018W,61.19402985074669,61.19402985074669
YPL244C,-61.15942028985509,61.15942028985509
YML074C,-61.13537117903935,61.13537117903935
YGR177C,-61.13207547169809,61.13207547169809
YMR080C,-61.13207547169809,61.13207547169809
YMR129W,-61.111111111111235,61.111111111111235
YPR112C,-61.11111111111115,61.11111111111115
YBL068W,-61.057692307692356,61.057692307692356
YOL165C,61.016949152542324,61.016949152542324
YLR384C,-61.00386100386102,61.00386100386102
YNL124W,-61.00386100386102,61.00386100386102
YDR224C,-60.99999999999993,60.99999999999993
YKR086W,60.9375,60.9375
YLL027W,60.9375,60.9375
YHR050W,60.9375,60.9375
YER177w,-60.86956521739133,60.86956521739133
YFL012W,60.869565217391155,60.869565217391155
YCRX13w,60.82474226804182,60.82474226804182
YGL111W,-60.80402010050248,60.80402010050248
YPR044C,-60.790273556230986,60.790273556230986
YPL245W,-60.790273556230986,60.790273556230986
YKL080W,-60.77586206896554,60.77586206896554
YLR374C,60.759493670886435,60.759493670886435
YKL168C,60.759493670886435,60.759493670886435
YLR406C,-60.75949367088606,60.75949367088606
YER118c,-60.69651741293545,60.69651741293545
YDR079w,60.60606060606118,60.60606060606118
YPR008W,60.55045871559638,60.55045871559638
YDR517W,60.52631578947361,60.52631578947361
YGR151C,-60.51502145922747,60.51502145922747
YHR174W,-60.50420168067215,60.50420168067215
YDR492W,-60.50420168067215,60.50420168067215
YKL191W,-60.42553191489358,60.42553191489358
YLR342W,-60.4166666666667,60.4166666666667
YGR173W,-60.4081632653063,60.4081632653063
YDR413C,-60.4081632653063,60.4081632653063
YBL005W,-60.34482758620685,60.34482758620685
YGL012W,-60.34482758620685,60.34482758620685
YGL051W,60.31746031746062,60.31746031746062
YER116c,60.31746031746062,60.31746031746062
YLR233C,60.29411764705917,60.29411764705917
YBL028C,-60.28708133971281,60.28708133971281
YDR010c,60.256410256409985,60.256410256409985
YNL238W,-60.23622047244091,60.23622047244091
YJL117W,-60.215053763440785,60.215053763440785
YMR128W,-60.211267605633786,60.211267605633786
YJL154C,-60.16260162601645,60.16260162601645
YHR143W,-60.109289617486326,60.109289617486326
YFL023W,-60.10101010101021,60.10101010101021
YKL113C,-60.0961538461537,60.0961538461537
YOR240W,-60.08968609865476,60.08968609865476
YMR046C,-60.08583690987122,60.08583690987122
YPR009W,-60.066006600660096,60.066006600660096
YBR118W,-60.0,60.0
YNL109W,-59.999999999999964,59.999999999999964
YKL068W,-59.99999999999993,59.99999999999993
YJR085C,59.99999999999963,59.99999999999963
YOR116C,-59.93690851735022,59.93690851735022
YFR005C,-59.82905982905977,59.82905982905977
YBR252W,-59.821428571428584,59.821428571428584
YER055c,-59.821428571428584,59.821428571428584
YGR087C,-59.813084112149596,59.813084112149596
YOR348C,59.793814432990175,59.793814432990175
YDL014W,-59.77859778597788,59.77859778597788
YNR072W,59.77011494252841,59.77011494252841
YBR034C,-59.765625,59.765625
YBL047C,59.701492537313946,59.701492537313946
YNL163C,-59.68379446640321,59.68379446640321
YDR111C,59.67741935483857,59.67741935483857
YDR205W,59.67741935483857,59.67741935483857
YJR143C,-59.65665236051495,59.65665236051495
YJL002C,-59.5959595959596,59.5959595959596
YDR211W,-59.5628415300546,59.5628415300546
YML040W,-59.54545454545459,59.54545454545459
YAR002W,-59.523809523809504,59.523809523809504
YNR046W,-59.507042253521114,59.507042253521114
YNL010W,-59.47136563876655,59.47136563876655
YPL088W,59.40594059405946,59.40594059405946
YAL023C,-59.375000000000085,59.375000000000085
YBR120C,59.37500000000002,59.37500000000002
YLR002C,-59.37499999999998,59.37499999999998
YNR030W,-59.33609958506235,59.33609958506235
YJR043C,-59.32835820895519,59.32835820895519
YLR172C,-59.276018099547514,59.276018099547514
YOR223W,59.25925925925962,59.25925925925962
YBR171W,-59.19117647058829,59.19117647058829
YBR267W,-59.160305343511446,59.160305343511446
YJL142C,59.15492957746462,59.15492957746462
YJR158W,59.15492957746462,59.15492957746462
YLR314C,-59.13043478260862,59.13043478260862
YDR212W,-59.13043478260862,59.13043478260862
YOL007C,-59.111111111111136,59.111111111111136
YDR458C,59.09090909090967,59.09090909090967
YBR262C,59.09090909090967,59.09090909090967
YDR024w,-59.090909090909115,59.090909090909115
YHR070W,-59.07172995780607,59.07172995780607
YGR229C,-59.02439024390239,59.02439024390239
YAR007C,-58.97435897435902,58.97435897435902
YPR165W,-58.95196506550205,58.95196506550205
YPL044C,-58.94308943089433,58.94308943089433
YDL054c,58.904109589041155,58.904109589041155
YJR107W,58.904109589041155,58.904109589041155
YMR215W,-58.904109589041056,58.904109589041056
YBR142W,-58.87850467289735,58.87850467289735
YOL064C,-58.84476534296025,58.84476534296025
YBR272C,58.82352941176494,58.82352941176494
